index,Formula,Phase,state,batch
1782,Al87Ni10Y3,RMG,No Procesado,19
1783,Al87Ni10Zr3,RMG,No Procesado,15
1784,Al87Ni3Y10,RMG,No Procesado,5
1785,Al87Ni5Y8,RMG,No Procesado,4
1786,Al87Ni6Sm7,RMG,No Procesado,2
1787,Al87Ni8Sm5,RMG,No Procesado,13
1788,Al88.5Fe3Ni8.5,RMG,No Procesado,19
1789,Al88.75Ca1.25Ni10,CRA,No Procesado,6
1790,Al88Ce10Co2,RMG,No Procesado,12
1791,Al88Ce10Cu2,RMG,No Procesado,1
1792,Al88Ce10Fe2,RMG,No Procesado,19
1793,Al88Ce10Mn2,RMG,No Procesado,1
1794,Al88Ce10Nb2,RMG,No Procesado,15
1795,Al88Ce10V2,RMG,No Procesado,11
1796,Al88Ce2Co10,RMG,No Procesado,9
1797,Al88Ce2Cu10,CRA,No Procesado,14
1798,Al88Ce2Fe10,RMG,No Procesado,3
1799,Al88Ce2Mn10,CRA,No Procesado,9
1800,Al88Ce2Ni10,RMG,No Procesado,11
1801,Al88Ce5Cu7,CRA,No Procesado,18
1802,Al88Ce8V4,CRA,No Procesado,6
1803,Al88Co10Fe2,CRA,No Procesado,18
1804,Al88Co10Mn2,CRA,No Procesado,10
1805,Al88Co10Ni2,CRA,No Procesado,15
1806,Al88Co11Ni1,CRA,No Procesado,2
1807,Al88Co1Ni11,CRA,No Procesado,13
1808,Al88Co2Fe10,CRA,No Procesado,14
1809,Al88Co2Ni10,CRA,No Procesado,17
1810,Al88Co3Ni9,CRA,No Procesado,16
1811,Al88Co4Fe8,CRA,No Procesado,9
1812,Al88Co4Ni8,RMG,No Procesado,6
1813,Al88Co5Ni7,RMG,No Procesado,19
1814,Al88Co6Fe6,CRA,No Procesado,8
1815,Al88Co6Mn6,CRA,No Procesado,19
1816,Al88Co6Ni6,CRA,No Procesado,16
1817,Al88Co7Ni5,CRA,No Procesado,1
1818,Al88Co8Fe4,CRA,No Procesado,5
1819,Al88Co8Mn4,CRA,No Procesado,10
1820,Al88Co8Ni4,CRA,No Procesado,19
1821,Al88Co9Ni3,CRA,No Procesado,16
1822,Al88Cr10Si2,CRA,No Procesado,9
1823,Al88Fe10Ni2,CRA,No Procesado,17
1824,Al88Fe10Si2,CRA,No Procesado,2
1825,Al88Fe1Ni11,RMG,No Procesado,4
1826,Al88Fe2Ni10,CRA,No Procesado,10
1827,Al88Fe3Ni9,RMG,No Procesado,15
1828,Al88Fe4Ni8,CRA,No Procesado,2
1829,Al88Fe5Ni7,CRA,No Procesado,14
1830,Al88Fe6Ni6,CRA,No Procesado,15
1831,Al88Fe8Ni4,CRA,No Procesado,14
1832,Al88La10Ni2,RMG,No Procesado,11
1833,Al88La2Ni10,RMG,No Procesado,16
1834,Al88La6Ni6,RMG,No Procesado,10
1835,Al88La7Ni5,RMG,No Procesado,11
1836,Al88Mn1Ni11,RMG,No Procesado,14
1837,Al88Mn2Ni10,RMG,No Procesado,2
1838,Al88Mn4Ni8,CRA,No Procesado,17
1839,Al88Mn6Ni6,CRA,No Procesado,8
1840,Al88Mn8Ni4,CRA,No Procesado,1
1841,Al88Nd10Ni2,RMG,No Procesado,18
1842,Al88Nd1Ni11,RMG,No Procesado,7
1843,Al88Nd2Ni10,RMG,No Procesado,3
1844,Al88Nd4Ni8,RMG,No Procesado,20
1845,Al88Nd6Ni6,RMG,No Procesado,20
1846,Al88Nd8Ni4,RMG,No Procesado,18
1847,Al88Ni10Y2,RMG,No Procesado,3
1848,Al88Ni10Zr2,RMG,No Procesado,20
1849,Al88Ni7Zr5,RMG,No Procesado,15
1850,Al88Ni9Y3,RMG,No Procesado,17
1851,Al89Ce10Ni1,RMG,No Procesado,11
1852,Al89Ce1Fe10,CRA,No Procesado,19
1853,Al89Ce6Mn5,CRA,No Procesado,2
1854,Al89Ce6V5,CRA,No Procesado,19
1855,Al89Ce8Cr3,CRA,No Procesado,2
1856,Al89Co1Ni10,CRA,No Procesado,14
1857,Al89Co2Ni9,CRA,No Procesado,3
1858,Al89Co3Ni8,CRA,No Procesado,19
1859,Al89Co4Ni7,CRA,No Procesado,10
1860,Al89Co5Ni6,CRA,No Procesado,19
1861,Al89Co6Ni5,CRA,No Procesado,7
1862,Al89Fe1Ni10,CRA,No Procesado,15
1863,Al89Fe2Ni9,CRA,No Procesado,3
1864,Al89Fe3Ni8,CRA,No Procesado,7
1865,Al89Fe4Ni7,CRA,No Procesado,7
1866,Al89Fe5Ni6,CRA,No Procesado,8
1867,Al89Fe6Ni5,CRA,No Procesado,1
1868,Al89Fe7Ni4,CRA,No Procesado,11
1869,Al89Fe9Ni2,CRA,No Procesado,10
1870,Al89La7Ni4,RMG,No Procesado,3
1871,Al89Mn2Ni9,CRA,No Procesado,11
1872,Al89Ni1Sm10,RMG,No Procesado,4
1873,Al89Ni9Zr2,RMG,No Procesado,16
1874,Al8B10Co82,CRA,No Procesado,16
1875,Al8B10Fe82,CRA,No Procesado,7
1876,Al8B14Co78,CRA,No Procesado,18
1877,Al8B14Fe78,RMG,No Procesado,6
1878,Al8B18Co74,RMG,No Procesado,1
1879,Al8B18Fe74,RMG,No Procesado,11
1880,Al8B18Ni74,RMG,No Procesado,9
1881,Al8B22Co70,RMG,No Procesado,2
1882,Al8B22Fe70,RMG,No Procesado,9
1883,Al8B22Ni70,RMG,No Procesado,10
1884,Al8B26Co66,RMG,No Procesado,15
1885,Al8B26Ni66,RMG,No Procesado,19
1886,Al8B30Co62,RMG,No Procesado,11
1887,Al8B30Ni62,RMG,No Procesado,8
1888,Al8B34Co58,RMG,No Procesado,16
1889,Al8B34Ni58,RMG,No Procesado,6
1890,Al8B38Ni54,RMG,No Procesado,15
1891,Al8B42Ni50,RMG,No Procesado,1
1892,Al8Ce10Cu82,RMG,No Procesado,6
1893,Al8Ce6Cu86,CRA,No Procesado,7
1894,Al8Ce8Cu84,RMG,No Procesado,1
1895,Al8Cu82Nd10,CRA,No Procesado,2
1896,Al8Cu84Nd8,RMG,No Procesado,12
1897,Al8Cu86Nd6,CRA,No Procesado,9
1898,Al8Cu88Nd4,CRA,No Procesado,3
1899,Al8Ga16Mg76,RMG,No Procesado,3
1900,Al8Ga2Mg90,CRA,No Procesado,10
1901,Al8Ga3Mg89,CRA,No Procesado,14
1902,Al8La86Ni6,RMG,No Procesado,10
1903,Al8Ni8Zr84,RMG,No Procesado,4
1904,Al8Si7Zr85,RMG,No Procesado,19
1905,Al90Ca5Fe5,CRA,No Procesado,3
1906,Al90Ca5Ni5,CRA,No Procesado,10
1907,Al90Ca7.5Fe2.5,RMG,No Procesado,7
1908,Al90Ca7.5Ni2.5,RMG,No Procesado,16
1909,Al90Ce3Co7,RMG,No Procesado,18
1910,Al90Ce3Fe7,RMG,No Procesado,7
1911,Al90Ce5Co5,RMG,No Procesado,13
1912,Al90Ce5Cu5,CRA,No Procesado,14
1913,Al90Ce5Fe5,RMG,No Procesado,10
1914,Al90Ce5Nb5,CRA,No Procesado,6
1915,Al90Ce5Ni5,CRA,No Procesado,19
1916,Al90Ce8Nb2,RMG,No Procesado,15
1917,Al90Co2Fe8,CRA,No Procesado,4
1918,Al90Co2Mn8,CRA,No Procesado,12
1919,Al90Co2Ni8,CRA,No Procesado,5
1920,Al90Co4Fe6,CRA,No Procesado,17
1921,Al90Co4Mn6,CRA,No Procesado,14
1922,Al90Co4Ni6,CRA,No Procesado,19
1923,Al90Co5Ni5,CRA,No Procesado,16
1924,Al90Co6Fe4,CRA,No Procesado,4
1925,Al90Co6Mn4,CRA,No Procesado,8
1926,Al90Co6Ni4,CRA,No Procesado,18
1927,Al90Co8Fe2,CRA,No Procesado,15
1928,Al90Co8Mn2,CRA,No Procesado,14
1929,Al90Co8Ni2,CRA,No Procesado,12
1930,Al90Cr5Si5,CRA,No Procesado,6
1931,Al90Cu5La5,RMG,No Procesado,9
1932,Al90Fe1Ni9,CRA,No Procesado,20
1933,Al90Fe2Ni8,CRA,No Procesado,1
1934,Al90Fe4Ni6,CRA,No Procesado,15
1935,Al90Fe5Ni5,CRA,No Procesado,6
1936,Al90Fe6Ni4,CRA,No Procesado,9
1937,Al90Fe8Ni2,CRA,No Procesado,18
1938,Al90Fe8Si2,CRA,No Procesado,13
1939,Al90Gd5Ni5,RMG,No Procesado,19
1940,Al90La5Ni5,CRA,No Procesado,11
1941,Al90La8Ni2,RMG,No Procesado,4
1942,Al90Mn2Ni8,CRA,No Procesado,18
1943,Al90Mn4Ni6,CRA,No Procesado,15
1944,Al90Mn6Ni4,CRA,No Procesado,9
1945,Al90Mn8Ni2,CRA,No Procesado,5
1946,Al90Nd1Ni9,CRA,No Procesado,19
1947,Al90Nd2Ni8,RMG,No Procesado,14
1948,Al90Nd3Ni7,RMG,No Procesado,1
1949,Al90Nd4Ni6,RMG,No Procesado,2
1950,Al90Nd5Ni5,RMG,No Procesado,11
1951,Al90Nd6Ni4,RMG,No Procesado,8
1952,Al90Nd8Ni2,RMG,No Procesado,10
1953,Al90Ni5Sm5,RMG,No Procesado,8
1954,Al90Ni5Y5,RMG,No Procesado,1
1955,Al90Ni5Zr5,CRA,No Procesado,17
1956,Al91Ce5Ni4,RMG,No Procesado,7
1957,Al91Co1Ni8,CRA,No Procesado,4
1958,Al91Co2Ni7,CRA,No Procesado,5
1959,Al91Fe1Ni8,CRA,No Procesado,2
1960,Al91Fe2Ni7,CRA,No Procesado,12
1961,Al91Fe3Ni6,CRA,No Procesado,15
1962,Al91Fe6Ni3,CRA,No Procesado,11
1963,Al91La5Ni4,RMG,No Procesado,6
1964,Al91La7Ni2,RMG,No Procesado,17
1965,Al92.5Ca2.5Fe5,CRA,No Procesado,1
1966,Al92.5Ca2.5Ni5,CRA,No Procesado,5
1967,Al92Ce6Nb2,RMG,No Procesado,14
1968,Al92Co2Fe6,CRA,No Procesado,1
1969,Al92Co2Mn6,CRA,No Procesado,13
1970,Al92Co2Ni6,CRA,No Procesado,4
1971,Al92Co4Fe4,CRA,No Procesado,19
1972,Al92Co4Mn4,CRA,No Procesado,13
1973,Al92Co4Ni4,CRA,No Procesado,7
1974,Al92Co6Fe2,CRA,No Procesado,2
1975,Al92Co6Mn2,CRA,No Procesado,8
1976,Al92Co6Ni2,CRA,No Procesado,12
1977,Al92Fe2Ni6,CRA,No Procesado,7
1978,Al92Fe4Ni4,CRA,No Procesado,15
1979,Al92Fe5Ni3,CRA,No Procesado,1
1980,Al92Fe6Ni2,CRA,No Procesado,11
1981,Al92Mn2Ni6,CRA,No Procesado,19
1982,Al92Mn4Ni4,CRA,No Procesado,15
1983,Al92Mn6Ni2,CRA,No Procesado,4
1984,Al92Nd2Ni6,CRA,No Procesado,10
1985,Al92Nd4Ni4,CRA,No Procesado,4
1986,Al92Nd6Ni2,CRA,No Procesado,2
1987,Al93Ce2Cr5,CRA,No Procesado,5
1988,Al93Ce2Mn5,CRA,No Procesado,12
1989,Al94Ce2Cr4,CRA,No Procesado,18
1990,Al94Ce2Fe4,CRA,No Procesado,18
1991,Al94Ce2Mn4,CRA,No Procesado,3
1992,Al94Ce2V4,CRA,No Procesado,5
1993,Al94Ce4Co2,CRA,No Procesado,7
1994,Al94Ce4Fe2,CRA,No Procesado,12
1995,Al94Co2Fe4,CRA,No Procesado,18
1996,Al94Co2Mn4,CRA,No Procesado,4
1997,Al94Co2Ni4,CRA,No Procesado,13
1998,Al94Co4Fe2,CRA,No Procesado,8
1999,Al94Co4Mn2,CRA,No Procesado,2
2000,Al94Co4Ni2,CRA,No Procesado,12
2001,Al94Fe2Ni4,CRA,No Procesado,3
2002,Al94Fe4Ni2,CRA,No Procesado,13
2003,Al94Mn2Ni4,CRA,No Procesado,15
2004,Al94Mn4Ni2,CRA,No Procesado,20
2005,Al94Nd2Ni4,CRA,No Procesado,5
2006,Al94Nd4Ni2,CRA,No Procesado,9
2007,Al95.8Ni0.7Ti3.5,CRA,No Procesado,2
2008,Al95Ce2Co3,CRA,No Procesado,5
2009,Al96Co2Fe2,CRA,No Procesado,18
2010,Al96Co2Mn2,CRA,No Procesado,13
2011,Al96Co2Ni2,CRA,No Procesado,13
2012,Al96Fe2Ni2,CRA,No Procesado,9
2013,Al96Mn2Ni2,CRA,No Procesado,9
2014,Al96Nd2Ni2,CRA,No Procesado,3
2015,Al9Ga2Mg89,CRA,No Procesado,19
2016,Al9La27Ni64,RMG,No Procesado,2
2017,Al9Ni62Zr29,RMG,No Procesado,5
2018,Au1.7Pd81.8Si16.5,RMG,No Procesado,1
2019,Au10Pd72Si18,RMG,No Procesado,3
2020,Au10Pd73.5Si16.5,RMG,No Procesado,1
2021,Au12.5Pd71Si16.5,RMG,No Procesado,15
2022,Au12Pd68Si20,RMG,No Procesado,6
2023,Au12Pd71Si17,RMG,No Procesado,11
2024,Au15Pd68.5Si16.5,RMG,No Procesado,4
2025,Au18B10Pr72,RMG,No Procesado,3
2026,Au1Cu29Mg70,RMG,No Procesado,20
2027,Au1Pd81Si18,RMG,No Procesado,10
2028,Au20.9Pd62.6Si16.5,CRA,No Procesado,19
2029,Au22.5B10Er67.5,RMG,No Procesado,3
2030,Au22.5B10Gd67.5,RMG,No Procesado,14
2031,Au22.5B10Pr67.5,RMG,No Procesado,17
2032,Au22.75Cu68.25La9,RMG,No Procesado,20
2033,Au2Pd80Si18,RMG,No Procesado,9
2034,Au2Pd81.5Si16.5,RMG,No Procesado,17
2035,Au3.5Pd80.5Si16,RMG,No Procesado,3
2036,Au3.5Pd80Si16.5,RMG,No Procesado,3
2037,Au3Cu27Mg70,RMG,No Procesado,5
2038,Au3Pd79Si18,RMG,No Procesado,9
2039,Au3Pd80.5Si16.5,RMG,No Procesado,13
2040,Au4.2Pd79.3Si16.5,RMG,No Procesado,1
2041,Au44.5Cu44.5La11,RMG,No Procesado,14
2042,Au45.5Cu45.5La9,RMG,No Procesado,9
2043,Au45Cu45La10,RMG,No Procesado,6
2044,Au4Pd75Si21,RMG,No Procesado,15
2045,Au4Pd76Si20,RMG,No Procesado,14
2046,Au4Pd78Si18,RMG,No Procesado,15
2047,Au4Pd79.5Si16.5,RMG,No Procesado,18
2048,Au4Pd79Si17,RMG,No Procesado,12
2049,Au4Pd81Si15,RMG,No Procesado,6
2050,Au53.2Pb27.5Sb19.3,RMG,No Procesado,6
2051,Au54.6Cu36.4La9,RMG,No Procesado,7
2052,Au55Cu25Si20,BMG,No Procesado,20
2053,Au55Pb22.5Sb22.5,RMG,No Procesado,3
2054,Au5Pd77Si18,RMG,No Procesado,15
2055,Au5Pd78.5Si16.5,RMG,No Procesado,9
2056,Au6.7Pd76.8Si16.5,RMG,No Procesado,9
2057,Au66Pd16Si18,RMG,No Procesado,1
2058,Au6Pd77.5Si16.5,RMG,No Procesado,20
2059,Au6Pd78Si16,RMG,No Procesado,3
2060,Au7.5Pd76Si16.5,RMG,No Procesado,7
2061,Au76.89Ge13.66Si9.45,RMG,No Procesado,13
2062,Au77.8Ge13.8Si8.4,BMG,No Procesado,17
2063,Au77Ge14Si9,RMG,No Procesado,19
2064,Au7Pd73Si20,RMG,No Procesado,19
2065,Au7Pd75Si18,RMG,No Procesado,10
2066,Au7Pd76.5Si16.5,RMG,No Procesado,15
2067,Au8Pd74Si18,RMG,No Procesado,7
2068,Au9Cu21Mg70,RMG,No Procesado,12
2069,Au9Pd75Si16,RMG,No Procesado,12
2070,B1.5Fe92Zr6.5,RMG,No Procesado,7
2071,B1.8Ni81.5P16.7,RMG,No Procesado,12
2072,B10Be20Fe70,RMG,No Procesado,3
2073,B10C10Fe80,RMG,No Procesado,9
2074,B10C10Ni80,CRA,No Procesado,11
2075,B10C15Ni75,CRA,No Procesado,4
2076,B10C20Ni70,CRA,No Procesado,14
2077,B10C5Fe85,RMG,No Procesado,1
2078,B10C5Ni85,CRA,No Procesado,3
2079,B10C7Fe83,RMG,No Procesado,7
2080,B10C8Ni82,CRA,No Procesado,12
2081,B10C9Fe81,RMG,No Procesado,6
2082,B10Co20Ti70,RMG,No Procesado,4
2083,B10Co70Si20,CRA,No Procesado,10
2084,B10Co74Zr16,RMG,No Procesado,15
2085,B10Co75Si15,BMG,No Procesado,17
2086,B10Co77.5Si12.5,RMG,No Procesado,19
2087,B10Co77Nb13,RMG,No Procesado,20
2088,B10Co80Si10,CRA,No Procesado,14
2089,B10Co80Zr10,RMG,No Procesado,13
2090,B10Co82Si8,CRA,No Procesado,16
2091,B10Co85Si5,CRA,No Procesado,15
2092,B10Cr10Fe80,CRA,No Procesado,19
2093,B10Cr12Fe78,CRA,No Procesado,4
2094,B10Cr14Fe76,CRA,No Procesado,6
2095,B10Cr15Fe75,CRA,No Procesado,8
2096,B10Cr18Fe72,CRA,No Procesado,5
2097,B10Cr20Fe70,CRA,No Procesado,17
2098,B10Cr22Fe68,CRA,No Procesado,6
2099,B10Cr24Fe66,RMG,No Procesado,15
2100,B10Cr26Fe64,RMG,No Procesado,2
2101,B10Cr5Fe85,CRA,No Procesado,1
2102,B10Cr8Fe82,CRA,No Procesado,11
2103,B10Cu10Fe80,CRA,No Procesado,7
2104,B10Cu15Fe75,CRA,No Procesado,6
2105,B10Cu1Fe89,CRA,No Procesado,7
2106,B10Cu25Zr65,RMG,No Procesado,18
2107,B10Cu30Zr60,RMG,No Procesado,14
2108,B10Cu35Zr55,RMG,No Procesado,14
2109,B10Cu3Fe87,CRA,No Procesado,13
2110,B10Cu5Fe85,CRA,No Procesado,18
2111,B10Fe20Mn70,CRA,No Procesado,17
2112,B10Fe20Ti70,RMG,No Procesado,17
2113,B10Fe65Ni25,CRA,No Procesado,10
2114,B10Fe70Mo20,RMG,No Procesado,9
2115,B10Fe70Ni20,CRA,No Procesado,10
2116,B10Fe70Si20,RMG,No Procesado,20
2117,B10Fe72.5Si17.5,RMG,No Procesado,4
2118,B10Fe72Mo18,RMG,No Procesado,12
2119,B10Fe75Mn15,CRA,No Procesado,17
2120,B10Fe75Mo15,RMG,No Procesado,19
2121,B10Fe75Nb15,RMG,No Procesado,8
2122,B10Fe75Ni15,CRA,No Procesado,11
2123,B10Fe75Si15,RMG,No Procesado,15
2124,B10Fe75V15,CRA,No Procesado,3
2125,B10Fe75Zr15,RMG,No Procesado,4
2126,B10Fe77.5Si12.5,RMG,No Procesado,8
2127,B10Fe78Mo12,RMG,No Procesado,16
2128,B10Fe78Nb12,RMG,No Procesado,9
2129,B10Fe78Zr12,RMG,No Procesado,1
2130,B10Fe79P11,RMG,No Procesado,12
2131,B10Fe80Ge10,RMG,No Procesado,9
2132,B10Fe80Mn10,CRA,No Procesado,2
2133,B10Fe80Mo10,RMG,No Procesado,19
2134,B10Fe80Ni10,RMG,No Procesado,20
2135,B10Fe80P10,RMG,No Procesado,19
2136,B10Fe80Si10,RMG,No Procesado,19
2137,B10Fe80V10,CRA,No Procesado,4
2138,B10Fe80Zr10,RMG,No Procesado,9
2139,B10Fe81P9,RMG,No Procesado,3
2140,B10Fe82Mo8,RMG,No Procesado,8
2141,B10Fe82Zr8,RMG,No Procesado,10
2142,B10Fe83.5Si6.5,CRA,No Procesado,16
2143,B10Fe83Nb7,RMG,No Procesado,7
2144,B10Fe83P7,RMG,No Procesado,12
2145,B10Fe83Si7,CRA,No Procesado,8
2146,B10Fe83Ta7,RMG,No Procesado,14
2147,B10Fe83Ti7,RMG,No Procesado,8
2148,B10Fe85Mn5,CRA,No Procesado,9
2149,B10Fe85Mo5,CRA,No Procesado,7
2150,B10Fe85Nb5,RMG,No Procesado,12
2151,B10Fe85Ni5,RMG,No Procesado,11
2152,B10Fe85V5,CRA,No Procesado,15
2153,B10Fe85Zr5,RMG,No Procesado,7
2154,B10Fe87Mn3,CRA,No Procesado,7
2155,B10Fe87Zr3,RMG,No Procesado,7
2156,B10Fe88Zr2,CRA,No Procesado,7
2157,B10Fe89Mn1,CRA,No Procesado,18
2158,B10Fe89Ni1,CRA,No Procesado,17
2159,B10Mo65Si25,CRA,No Procesado,17
2160,B10Mo70Si20,RMG,No Procesado,19
2161,B10Mo75Si15,RMG,No Procesado,5
2162,B10Mo80P10,RMG,No Procesado,3
2163,B10Mo80Si10,CRA,No Procesado,17
2164,B10Mo85Si5,CRA,No Procesado,2
2165,B10Ni20Ti70,RMG,No Procesado,2
2166,B10Ni30Zr60,RMG,No Procesado,16
2167,B10Ni72Si18,CRA,No Procesado,19
2168,B10Ni75Si15,RMG,No Procesado,3
2169,B10Ni76P14,RMG,No Procesado,14
2170,B10Ni76Si14,RMG,No Procesado,14
2171,B10Ni80P10,RMG,No Procesado,10
2172,B10Ni80Si10,RMG,No Procesado,8
2173,B10Si20W70,RMG,No Procesado,7
2174,B11.1Ni81.5P7.4,RMG,No Procesado,11
2175,B11.25Co63.75V25,RMG,No Procesado,10
2176,B11.5C10Ni78.5,CRA,No Procesado,1
2177,B11C5Fe84,RMG,No Procesado,6
2178,B11C7Fe82,RMG,No Procesado,9
2179,B11C9Fe80,RMG,No Procesado,5
2180,B11Co53.4Mn35.6,RMG,No Procesado,2
2181,B11Co71.2Mn17.8,RMG,No Procesado,2
2182,B11Co78Si11,RMG,No Procesado,9
2183,B11Cr27Fe62,RMG,No Procesado,8
2184,B11Fe75P14,CRA,No Procesado,4
2185,B11Fe79P10,RMG,No Procesado,13
2186,B11Fe80P9,RMG,No Procesado,5
2187,B11Fe82Ti7,RMG,No Procesado,2
2188,B11Fe84Zr5,RMG,No Procesado,1
2189,B11Fe85P4,CRA,No Procesado,18
2190,B11Ni78Si11,RMG,No Procesado,14
2191,B12.2Fe74.8Si13,RMG,No Procesado,15
2192,B12.5Co75Si12.5,RMG,No Procesado,19
2193,B12.5Co77.5Si10,RMG,No Procesado,7
2194,B12.5Co80.5Si7,CRA,No Procesado,18
2195,B12.5Co80Si7.5,RMG,No Procesado,7
2196,B12.5Fe70Si17.5,RMG,No Procesado,6
2197,B12.5Fe72.5Si15,RMG,No Procesado,11
2198,B12.5Fe75Si12.5,RMG,No Procesado,13
2199,B12.5Fe77.5Si10,RMG,No Procesado,4
2200,B12.5Fe78.5Si9,RMG,No Procesado,5
2201,B12.5Fe80Si7.5,RMG,No Procesado,11
2202,B12.5Fe82.5Si5,RMG,No Procesado,11
2203,B12.5Ni75Si12.5,RMG,No Procesado,5
2204,B12.75Co72.25Ti15,RMG,No Procesado,17
2205,B12.75Co72.25V15,RMG,No Procesado,20
2206,B12C12Co76,RMG,No Procesado,13
2207,B12C16Co72,CRA,No Procesado,11
2208,B12C3Fe85,RMG,No Procesado,2
2209,B12C4Co84,CRA,No Procesado,4
2210,B12C5Fe83,RMG,No Procesado,16
2211,B12C6Ni82,CRA,No Procesado,10
2212,B12C7Fe81,RMG,No Procesado,9
2213,B12C8Co80,CRA,No Procesado,2
2214,B12C9Fe79,RMG,No Procesado,8
2215,B12Co18Mn70,RMG,No Procesado,11
2216,B12Co24Mn64,RMG,No Procesado,8
2217,B12Co34Mn54,RMG,No Procesado,19
2218,B12Co39Mn49,RMG,No Procesado,19
2219,B12Co44Mn44,RMG,No Procesado,2
2220,B12Co45Mn43,RMG,No Procesado,9
2221,B12Co48Mn40,RMG,No Procesado,17
2222,B12Co49Mn39,RMG,No Procesado,1
2223,B12Co52.8Mn35.2,RMG,No Procesado,8
2224,B12Co53Mn35,RMG,No Procesado,13
2225,B12Co57Mn31,RMG,No Procesado,19
2226,B12Co61.6Mn26.4,RMG,No Procesado,20
2227,B12Co61Mn27,RMG,No Procesado,12
2228,B12Co62Mn26,RMG,No Procesado,1
2229,B12Co68Mn20,RMG,No Procesado,2
2230,B12Co68Ti20,RMG,No Procesado,7
2231,B12Co68V20,RMG,No Procesado,20
2232,B12Co70.4Mn17.6,RMG,No Procesado,7
2233,B12Co70.5Mn17.5,RMG,No Procesado,8
2234,B12Co70Mn18,RMG,No Procesado,10
2235,B12Co78Si10,RMG,No Procesado,20
2236,B12Co79Mn9,RMG,No Procesado,19
2237,B12Co80Nb8,RMG,No Procesado,20
2238,B12Cr10Fe78,RMG,No Procesado,9
2239,B12Cr14Fe74,RMG,No Procesado,19
2240,B12Cr15Fe73,RMG,No Procesado,7
2241,B12Cr18Fe70,RMG,No Procesado,18
2242,B12Cr20Fe68,RMG,No Procesado,4
2243,B12Cr22Fe66,RMG,No Procesado,10
2244,B12Cr24Fe64,RMG,No Procesado,3
2245,B12Cr26Fe62,RMG,No Procesado,15
2246,B12Cr5Fe83,RMG,No Procesado,9
2247,B12Cu10Fe78,CRA,No Procesado,1
2248,B12Cu15Fe73,CRA,No Procesado,12
2249,B12Cu1Fe87,CRA,No Procesado,18
2250,B12Cu20Fe68,CRA,No Procesado,17
2251,B12Cu3Fe85,CRA,No Procesado,8
2252,B12Cu5Fe83,CRA,No Procesado,2
2253,B12Fe20Mn68,CRA,No Procesado,16
2254,B12Fe21Zr67,RMG,No Procesado,1
2255,B12Fe63Ni25,CRA,No Procesado,12
2256,B12Fe68Mo20,RMG,No Procesado,5
2257,B12Fe68Ni20,RMG,No Procesado,17
2258,B12Fe70Mo18,RMG,No Procesado,7
2259,B12Fe70Si18,RMG,No Procesado,18
2260,B12Fe72Si16,RMG,No Procesado,9
2261,B12Fe73Mn15,CRA,No Procesado,18
2262,B12Fe73Mo15,RMG,No Procesado,10
2263,B12Fe73Ni15,RMG,No Procesado,7
2264,B12Fe73V15,CRA,No Procesado,1
2265,B12Fe75Si13,RMG,No Procesado,8
2266,B12Fe76Mo12,RMG,No Procesado,20
2267,B12Fe77Si11,RMG,No Procesado,10
2268,B12Fe78Mn10,CRA,No Procesado,14
2269,B12Fe78Mo10,RMG,No Procesado,10
2270,B12Fe78Ni10,RMG,No Procesado,13
2271,B12Fe78Si10,RMG,No Procesado,7
2272,B12Fe78V10,RMG,No Procesado,15
2273,B12Fe78Zr10,RMG,No Procesado,8
2274,B12Fe79P9,RMG,No Procesado,3
2275,B12Fe80Ge8,RMG,No Procesado,15
2276,B12Fe80Mo8,RMG,No Procesado,7
2277,B12Fe80P8,RMG,No Procesado,14
2278,B12Fe80Si8,RMG,No Procesado,19
2279,B12Fe80Zr8,RMG,No Procesado,6
2280,B12Fe81Hf7,RMG,No Procesado,6
2281,B12Fe81Mo7,RMG,No Procesado,8
2282,B12Fe81Nb7,RMG,No Procesado,9
2283,B12Fe81P7,RMG,No Procesado,5
2284,B12Fe81W7,RMG,No Procesado,19
2285,B12Fe81Zr7,RMG,No Procesado,6
2286,B12Fe82Nd6,RMG,No Procesado,16
2287,B12Fe82P6,RMG,No Procesado,11
2288,B12Fe82Si6,RMG,No Procesado,4
2289,B12Fe83Mn5,CRA,No Procesado,18
2290,B12Fe83Mo5,RMG,No Procesado,5
2291,B12Fe83Nb5,RMG,No Procesado,10
2292,B12Fe83Ni5,CRA,No Procesado,4
2293,B12Fe83P5,RMG,No Procesado,8
2294,B12Fe83Si5,RMG,No Procesado,11
2295,B12Fe83V5,RMG,No Procesado,18
2296,B12Fe84Si4,RMG,No Procesado,19
2297,B12Fe85Mn3,CRA,No Procesado,7
2298,B12Fe85Ni3,CRA,No Procesado,16
2299,B12Fe87Mn1,CRA,No Procesado,3
2300,B12Fe87Ni1,CRA,No Procesado,4
2301,B12Mo71Si17,RMG,No Procesado,7
2302,B12Mo78Si10,RMG,No Procesado,13
2303,B12Ni72Si16,RMG,No Procesado,18
2304,B12Ni74P14,RMG,No Procesado,15
2305,B12Ni76Si12,RMG,No Procesado,6
2306,B12Ni78Si10,RMG,No Procesado,18
2307,B12Ni80Si8,CRA,No Procesado,7
2308,B12Ni81.5P6.5,RMG,No Procesado,2
2309,B12Ni84Si4,CRA,No Procesado,15
2310,B13.5Co73Si13.5,RMG,No Procesado,17
2311,B13.5Co76.5Ti10,RMG,No Procesado,10
2312,B13.5Co76.5V10,RMG,No Procesado,9
